,cos_similarity,match_sentence,post_id,sentence,symptom,user_id
0,0.7598752975463867,I felt leg pain,414608576546564,My legs felt like they were in cement and the pain was excruciating.,leg,100000485450481
1,0.7639539241790771,dealing with vertigo,503917610948993,Just wanted to let all know my roommate has ended up with vertigo.,lightheaded,100042204009248
2,0.7747233510017395,my symptoms included stroke,509523550388399,I am having trouble finding data regarding these symptoms for people that did not suffer a stroke.,stroke,1020120541
3,0.7605301141738892,I experienced shortness of breath,521006345906786,Shortness of breath only when I do stairs.,breathing,100000275261897
4,0.8118265867233276,I experienced shortness of breath,414505476556874,Can't really recall any shortness of breath in the past 2 weeks.,breathing,100004703479407
5,0.8066825866699219,I experienced leg pain,414097086597713,Some pain in leg.,leg,704265243
6,0.8066825866699219,I experienced leg pain,414097086597713,Some pain in leg.,leg,704265243
7,0.7785392999649048,I had shortness of breath,403584040982351,"I had shortness of breath, fatigue, and body pains that were unreal.",breathing,100000024506226
8,0.8066825866699219,I experienced leg pain,414097086597713,Some pain in leg.,leg,704265243
9,0.7948726415634155,my symptoms included leg pain,411200936887328,The most troubling symptom I still have is leg pain.,leg,999982646
10,0.8265639543533325,has anyone else leg swelling,509133617094059,Anyone else having swelling everywhere?,leg,1577342027
11,0.7511577606201172,has anyone else increased heart rate,407033653970723,Anyone have increased heart palpitations?,heart,1172246596
12,0.7598752975463867,I felt leg pain,414608576546564,My legs felt like they were in cement and the pain was excruciating.,leg,100000485450481
13,0.7639539241790771,dealing with vertigo,503917610948993,Just wanted to let all know my roommate has ended up with vertigo.,lightheaded,100042204009248
14,0.7747233510017395,my symptoms included stroke,509523550388399,I am having trouble finding data regarding these symptoms for people that did not suffer a stroke.,stroke,1020120541
15,0.7605301141738892,I experienced shortness of breath,521006345906786,Shortness of breath only when I do stairs.,breathing,100000275261897
16,0.7807995080947876,I experienced increased heart rate,620700389270714,My resting heart rate seems to be higher than before.,heart,543139534
17,0.7859189510345459,has anyone else shortness of breath,416239129716842,Im always short of breath.,breathing,1575667512
18,0.7584145665168762,I had stroke,516980319642722,I had a stroke on June 2.,stroke,1525807254
19,0.7785392999649048,I had shortness of breath,403584040982351,"I had shortness of breath, fatigue, and body pains that were unreal.",breathing,100000024506226
20,0.7948726415634155,my symptoms included leg pain,411200936887328,The most troubling symptom I still have is leg pain.,leg,999982646
21,0.8066825866699219,I experienced leg pain,414097086597713,Some pain in leg.,leg,704265243
22,0.8118265867233276,I experienced shortness of breath,414505476556874,Can't really recall any shortness of breath in the past 2 weeks.,breathing,100004703479407
23,0.8486812114715576,I experienced shortness of breath,479979180009503,This is why shortness of breath is a common symptom (4Trusted Source).,breathing,100065203252480
24,0.8265639543533325,has anyone else leg swelling,509133617094059,Anyone else having swelling everywhere?,leg,1577342027
25,0.7505335807800293,I experienced shortness of breath,546626950011392,Shortness of breath.I have post polio syndrome and takes a lot longer.,breathing,1311051348
26,0.8662436008453369,I experienced shortness of breath,579897513351002,My shortness of breath is almost gone.,breathing,1311051348
